,Faculty Home Page,# Pubs,Adj. #
,http://www.phontron.com,https://dblp.org/pers/hd/n/Neubig:Graham,35.1
,http://www.cs.cmu.edu/~abhinavg,https://dblp.org/pers/hd/g/Gupta_0001:Abhinav,32.3
,http://www.cs.cmu.edu/~dwoodruf,https://dblp.org/pers/hd/w/Woodruff:David_P%3D,33.7
,http://www.cs.cmu.edu/~./choset,https://dblp.org/pers/hd/c/Choset:Howie,19.5
,http://www.cs.cmu.edu/~sandholm,https://dblp.org/pers/hd/s/Sandholm:Tuomas,29.8
,http://www.cs.cmu.edu/~pradeepr,https://dblp.org/pers/hd/r/Ravikumar:Pradeep,20.8
,http://www.cs.cmu.edu/~./hebert,https://dblp.org/pers/hd/h/Hebert:Martial,22.0
,http://www.cs.cmu.edu/~deva,https://dblp.org/pers/hd/r/Ramanan:Deva,24.4
,http://www.zicokolter.com,https://dblp.org/pers/hd/k/Kolter:J%3D_Zico,21.5
,https://www.ri.cmu.edu/ri-faculty/maxim-likhachev,https://dblp.org/pers/hd/l/Likhachev:Maxim,19.8
,http://elaineshi.com,https://dblp.org/pers/hd/s/Shi:Elaine,15.9
,http://www.chrisharrison.net,https://dblp.org/pers/hd/h/Harrison_0001:Chris,16.3
,https://users.cs.duke.edu/~conitzer,https://dblp.org/pers/hd/c/Conitzer:Vincent,21.6
,https://www.cs.cmu.edu/~morency,https://dblp.org/pers/hd/m/Morency:Louis%3DPhilippe,11.5
,https://users.ece.cmu.edu/~vsekar,https://dblp.org/pers/hd/s/Sekar:Vyas,10.2
,https://zstevenwu.com,https://dblp.org/pers/hd/w/Wu:Zhiwei_Steven,12.8
,http://www.cs.cmu.edu/~hudson,https://dblp.org/pers/hd/h/Hudson:Scott_E%3D,11.9
,http://www.ri.cmu.edu/person.html?person_id=689,https://dblp.org/pers/hd/b/Bagnell:J%3D_Andrew,12.3
,http://www.cs.cmu.edu/~tom,https://dblp.org/pers/hd/m/Mitchell:Tom_M%3D,14.0
,https://www.cs.cmu.edu/~goyal,https://dblp.org/pers/hd/g/Goyal:Vipul,15.1
,https://web.stanford.edu/~yuanzhil,https://dblp.org/pers/hd/l/Li:Yuanzhi,15.5
,https://people.csail.mit.edu/junyanz,https://dblp.org/pers/hd/z/Zhu:Jun%3DYan,8.8
