,rank,uni_name,count,faculty,div_ids
0,1,Carnegie Mellon University,20.9,166,Carnegie%20Mellon%20University-faculty
1,2,Univ of Illinois at UrbanaChampaign,14.6,113,Univ.%20of%20Illinois%20at%20Urbana-Champaign-faculty
2,3,Massachusetts Institute of Technology,13.0,94,Massachusetts%20Institute%20of%20Technology-faculty
3,4,Univ of California  San Diego,11.9,113,Univ.%20of%20California%20-%20San%20Diego-faculty
4,5,University of Michigan,11.4,100,University%20of%20Michigan-faculty
5,6,Stanford University,10.9,68,Stanford%20University-faculty
6,7,University of Washington,10.8,80,University%20of%20Washington-faculty
7,8,Cornell University,10.6,82,Cornell%20University-faculty
8,9,Univ of California  Berkeley,10.4,90,Univ.%20of%20California%20-%20Berkeley-faculty
9,10,Georgia Institute of Technology,9.3,102,Georgia%20Institute%20of%20Technology-faculty
10,11,University of Maryland  College Park,8.4,85,University%20of%20Maryland%20-%20College%20Park-faculty
11,12,Northeastern University,7.9,77,Northeastern%20University-faculty
12,13,Purdue University,7.7,74,Purdue%20University-faculty
13,14,Columbia University,7.6,56,Columbia%20University-faculty
14,14,University of Texas at Austin,7.6,51,University%20of%20Texas%20at%20Austin-faculty
15,14,University of Wisconsin  Madison,7.6,66,University%20of%20Wisconsin%20-%20Madison-faculty
16,17,University of Pennsylvania,7.4,74,University%20of%20Pennsylvania-faculty
17,18,Princeton University,6.1,50,Princeton%20University-faculty
18,19,New York University,5.9,61,New%20York%20University-faculty
19,19,Univ of California  Los Angeles,5.9,43,Univ.%20of%20California%20-%20Los%20Angeles-faculty
20,21,University of Massachusetts Amherst,5.8,57,University%20of%20Massachusetts%20Amherst-faculty
21,22,Stony Brook University,5.4,58,Stony%20Brook%20University-faculty
22,22,Univ of California  Santa Barbara,5.4,37,Univ.%20of%20California%20-%20Santa%20Barbara-faculty
23,24,Rutgers University,5.3,49,Rutgers%20University-faculty
24,25,University of Chicago,5.2,47,University%20of%20Chicago-faculty
25,26,Univ of California  Irvine,5.1,70,Univ.%20of%20California%20-%20Irvine-faculty
26,26,University of Southern California,5.1,47,University%20of%20Southern%20California-faculty
27,28,Duke University,4.9,51,Duke%20University-faculty
28,29,Pennsylvania State University,4.6,60,Pennsylvania%20State%20University-faculty
29,30,Univ of California  Riverside,4.5,48,Univ.%20of%20California%20-%20Riverside-faculty
30,31,Northwestern University,4.4,43,Northwestern%20University-faculty
31,32,Ohio State University,4.3,47,Ohio%20State%20University-faculty
32,33,Harvard University,4.2,28,Harvard%20University-faculty
33,34,University of Utah,4.1,59,University%20of%20Utah-faculty
34,34,Yale University,4.1,39,Yale%20University-faculty
35,36,George Mason University,4.0,51,George%20Mason%20University-faculty
36,37,Brown University,3.9,39,Brown%20University-faculty
37,37,Texas AM University,3.9,45,Texas%20A%26M%20University-faculty
38,39,Univ of California  Santa Cruz,3.8,57,Univ.%20of%20California%20-%20Santa%20Cruz-faculty
39,40,Boston University,3.7,37,Boston%20University-faculty
40,40,University at Buffalo,3.7,45,University%20at%20Buffalo-faculty
